FieldExperimentSite,Ppumila_Population,InvasionHistory_FieldDestinationSite,PpumilaPopulation_HistoryCoexistence_Apetiolata,TotalFluorescence,InitialSeedlingSize_leaves,num_AMFspecies,FaithPhylogeneticDiversity,Paraglomus_brasilianum,Paraglomus_occultum,Acaulospora_cavernata,Acaulospora_longula,Acaulospora_spinosa,Diversispora_epigaea,Diversispora_species2,Claroideoglomus_etunicatum,Claroideoglomus_species,Claroideoglomus_claroideum,Glomus_indicum,Glomus_iranicum,Rhizophagus_clarus,Rhizophagus_irregularis,Rhizophagus_species,Sclerocystis_sinuosa,Septoglomus_africanum
BNP,BNP,44.68,44.68,1826,2,1,0.14795273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BNP,BNP,44.68,44.68,1886,4,2,0.20551808,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BNP,BRF,44.68,63,15113,4,12,0.48949218,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1
BNP,HR,44.68,49.82,12581,4,3,0.25949765,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
BNP,LA,44.68,31.78,1802,4,1,0.14975262,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BNP,VRO,44.68,0,3178,4,1,0.15038028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BNP,VRO,44.68,0,3564,4,1,0.14624001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BNP,VRO,44.68,0,15508,4,4,0.31370374,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
BNP,VRO,44.68,0,12026,4,5,0.27826864,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
BNP,WNF,44.68,15.8,5867,6,1,0.14975262,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BNP,WNF,44.68,15.8,7775,4,2,0.16955822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BRF,BNP,63,44.68,4771,4,2,0.19364712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BRF,BNP,63,44.68,10472,2,5,0.27668389,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
BRF,BRF,63,63,12366,4,8,0.41267794,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1
BRF,HR,63,49.82,799,4,4,0.24248594,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BRF,LA,63,31.78,8092,4,1,0.09158969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRF,LA,63,31.78,10245,2,3,0.29209825,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BRF,WNF,63,15.8,8753,2,2,0.21595576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HR,BNP,49.82,44.68,486,4,2,0.21766848,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HR,BRF,49.82,63,2143,4,2,0.18749544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HR,BRF,49.82,63,1806,4,2,0.18506788,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HR,VRO,49.82,0,536,4,2,0.1678455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LA,LA,31.78,31.78,759,4,2,0.16955822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
LA,WNF,31.78,15.8,4625,4,3,0.20667338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA,WNF,31.78,15.8,6404,4,3,0.24398798,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
WNF,BNP,15.8,44.68,21283,4,4,0.33164096,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
WNF,BNP,15.8,44.68,29783,4,6,0.31066363,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,BNP,15.8,44.68,11417,4,6,0.28170027,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0
WNF,BNP,15.8,44.68,8484,2,7,0.3181343,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1
WNF,BNP,15.8,44.68,13022,5,9,0.46943189,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1
WNF,BRF,15.8,63,12322,4,1,0.13014811,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WNF,BRF,15.8,63,8061,2,3,0.20667338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
WNF,BRF,15.8,63,30096,4,6,0.34855612,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
WNF,BRF,15.8,63,16986,2,6,0.31066363,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,BRF,15.8,63,13005,4,7,0.38037939,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,BRF,15.8,63,26367,2,9,0.42369863,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
WNF,BRF,15.8,63,2381,4,10,0.44617294,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1
WNF,HR,15.8,49.82,4275,4,2,0.16955822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
WNF,HR,15.8,49.82,23214,2,3,0.28192561,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
WNF,HR,15.8,49.82,9879,4,4,0.31370374,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
WNF,HR,15.8,49.82,2245,2,4,0.31370374,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
WNF,HR,15.8,49.82,19507,4,5,0.23623387,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,HR,15.8,49.82,9223,4,8,0.42219679,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
WNF,HR,15.8,49.82,20257,4,10,0.43904274,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1
